Department_number-Ministère_numéro,Department-name_English-Ministère_nom_anglais,Department_name_French-Ministère_nom_français
056,Treasury Board Secretariat,Secrétariat du Conseil du Trésor
057,Parole Board of Canada,Commission des libérations conditionnelles du Canada
061,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
062,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
063,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines
066,Northern Pipeline Agency,Administration du pipe-line du Nord
067,House of Commons,Chambre des communes
075,Canadian Human Rights Commission,Commission canadienne des droits de la personne
076,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
078,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
079,Payroll System General Ledger,Grand livre général du système de la paye
080,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada
085,Canada Border Services Agency,Agence des services frontaliers du Canada
086,Fisheries and Oceans Canada,Pêches et Océans Canada
087,Public Service Superannuation,Pension de retraite de la fonction publique
088,Public Safety and Emergency Preparedness Canada,Sécurité publique et de la Protection civile Canada
091,Canada Mortgage and Housing Corporation (Crown Corporation),Société canadienne d'hypothèques et de logement (Société d'ÿtat)
095,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité
096,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l'information et à la protection de la vie privée au Canada
097,Receiver General,Receveur général
100,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
101,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports
102,The National Battlefields Commission,Commission des champs de bataille nationaux
109,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés
116,Copyright Board,Commission du droit d'auteur
119,Canadian Space Agency,Agence spatiale canadienne
122,Canada Revenue Agency - (Administered Activities),Agence du revenu du Canada - (activités administrées)
123,Export Development Canada (Crown Corporation),Exportation et développement Canada (Société d'ÿtat)
124,Parks Canada Agency,Agence Parcs Canada
127,Department of Public Works and Government Services ,Ministère des Travaux publics et des Services gouvernementaux 
130,Canada Revenue Agency,Agence du revenu du Canada
131,Law Commission of Canada,Commission du droit du Canada
133,Canadian Grain Commission,Commission canadienne des grains
134,Canadian Dairy Commission,Commission canadienne du lait
135,Department of Canadian Heritage ,Ministère du Patrimoine canadien 
136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
137,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire
138,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires
139,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
141,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
142,Infrastructure Canada,Infrastructure Canada
144,Courts Administration Service,Service administratif des tribunaux judiciaires
145,Library and Archives of Canada,Bibliothèque et Archives du Canada
147,Office of the Conflict of Interest and Ethics Commissioner,Bureau du commissaire aux conflits d'intérêts et à l'éthique
148,Public Health Agency of Canada,Agence de la santé publique du Canada
151,Office of the Senate Ethics Officer,Bureau du conseiller sénatorial en éthique
154,Office of the Commissioner of Lobbying,Commissariat au lobbying
163,Shared Services Canada (SSC),Services partagés Canada
165,Communications Security Establishment,Centre de la sécurité des télécommunications
170,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
171,Canadian High Arctic Research Station,Station canadienne de recherche dans l'Extrême-Arctique
176,Parliamentary Protective Service,Service de protection parlementaire
180,Invest in Canada Hub,Investir au Canada
183,Office of the Parliamentary Budget Officer,Bureau du directeur parlementaire du budget
190,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres
191,Department of Indigenous Services,Ministère des Services aux Autochtones
192,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement
193,Leaders' Debates Commission,Commission des débats des chefs
195,Canadian Energy Regulator,Régie canadienne de l'énergie
196,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement
197,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
199,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité
200,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario
